detector - descriptor,Frame,lidar TTC,Camera TTC,Difference,
BRISK-SIFT,Frame17,11.030114,6.471941,4.558172,
BRISK-SIFT,Frame18,8.535568,6.788905,1.746663,
 , , , , ,
ORB-BRISK,Frame1,12.289100,nan,nan,
ORB-BRISK,Frame2,13.354725,nan,nan,
ORB-BRISK,Frame3,16.384452,nan,nan,
ORB-BRISK,Frame4,14.076445,nan,nan,
ORB-BRISK,Frame5,12.729945,nan,nan,
ORB-BRISK,Frame6,13.751074,nan,nan,
ORB-BRISK,Frame7,13.731432,8.812325,4.919107,
ORB-BRISK,Frame8,13.790126,8.878723,4.911403,
ORB-BRISK,Frame9,12.058994,8.735540,3.323454,
ORB-BRISK,Frame10,11.864185,8.457928,3.406258,
ORB-BRISK,Frame11,11.968197,7.106591,4.861606,
ORB-BRISK,Frame12,9.887113,13.035852,3.148739,
ORB-BRISK,Frame13,9.425037,6.244465,3.180572,
ORB-BRISK,Frame14,9.302148,8.992389,0.309758,
ORB-BRISK,Frame15,8.321200,8.973947,0.652746,
ORB-BRISK,Frame16,8.898673,13.857238,4.958564,
ORB-BRISK,Frame17,11.030114,6.239917,4.790196,
ORB-BRISK,Frame18,8.535568,14.049318,5.513750,
 , , , , ,
ORB-BRIEF,Frame1,12.289100,nan,nan,
ORB-BRIEF,Frame2,13.354725,nan,nan,
ORB-BRIEF,Frame3,16.384452,nan,nan,
ORB-BRIEF,Frame4,14.076445,nan,nan,
ORB-BRIEF,Frame5,12.729945,nan,nan,
ORB-BRIEF,Frame6,13.751074,nan,nan,
ORB-BRIEF,Frame7,13.731432,17.888430,4.156998,
ORB-BRIEF,Frame8,13.790126,10.154096,3.636030,
ORB-BRIEF,Frame9,12.058994,8.492768,3.566226,
ORB-BRIEF,Frame10,11.864185,11.017343,0.846842,
ORB-BRIEF,Frame11,11.968197,5.882714,6.085483,
ORB-BRIEF,Frame12,9.887113,16.756369,6.869256,
ORB-BRIEF,Frame13,9.425037,6.489319,2.935718,
ORB-BRIEF,Frame14,9.302148,12.668455,3.366308,
ORB-BRIEF,Frame15,8.321200,19.841049,11.519849,
ORB-BRIEF,Frame16,8.898673,5.799765,3.098908,
ORB-BRIEF,Frame17,11.030114,6.936986,4.093127,
ORB-BRIEF,Frame18,8.535568,17.360203,8.824635,
 , , , , ,
ORB-ORB,Frame1,12.289100,nan,nan,
